Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_pos,button_pressed,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
2IFC,0,0,0,0,5,-1,c,o,r,0.4681352999759838,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_1,stimulus2AFC2_2IFC_2020_Mar_23_1712_2,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,1,0,1,0,5,-1,c,o,r,0.5181136999744922,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_3,stimulus2AFC2_2IFC_2020_Mar_23_1712_4,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,2,0,2,0,5,-1,c,o,r,0.4180288999923505,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_5,stimulus2AFC2_2IFC_2020_Mar_23_1712_6,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,3,0,3,0,5,-1,c,o,r,0.23425069998484105,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_7,stimulus2AFC2_2IFC_2020_Mar_23_1712_8,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,4,0,4,0,5,-1,w,r,o,0.43490140000358224,True,False,1,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_9,stimulus2AFC2_2IFC_2020_Mar_23_1712_10,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,5,0,5,0,5,-1,c,o,r,0.4171158999670297,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_11,stimulus2AFC2_2IFC_2020_Mar_23_1712_12,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,6,0,6,0,5,-1,c,o,r,0.3516524000442587,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_13,stimulus2AFC2_2IFC_2020_Mar_23_1712_14,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,7,0,7,0,5,-1,c,o,r,0.5179187000030652,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_15,stimulus2AFC2_2IFC_2020_Mar_23_1712_16,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,8,0,8,0,5,-1,c,o,r,0.234770999988541,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_17,stimulus2AFC2_2IFC_2020_Mar_23_1712_18,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,9,0,9,0,5,-1,c,o,r,0.5323659999994561,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_19,stimulus2AFC2_2IFC_2020_Mar_23_1712_20,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,10,0,10,0,5,-1,c,o,r,0.4518106000032276,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_21,stimulus2AFC2_2IFC_2020_Mar_23_1712_22,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,11,0,11,0,5,-1,w,r,o,0.25122380000539124,False,True,2,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_23,stimulus2AFC2_2IFC_2020_Mar_23_1712_24,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,12,0,12,0,5,-1,c,o,r,0.3520376000087708,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_25,stimulus2AFC2_2IFC_2020_Mar_23_1712_26,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,13,0,13,0,5,-1,c,o,r,0.21831860003294423,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_27,stimulus2AFC2_2IFC_2020_Mar_23_1712_28,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,14,0,14,0,5,-1,c,o,r,0.21804519998840988,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_29,stimulus2AFC2_2IFC_2020_Mar_23_1712_30,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,15,0,15,0,5,-1,c,o,r,0.3334169999579899,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_31,stimulus2AFC2_2IFC_2020_Mar_23_1712_32,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,16,0,16,0,5,-1,w,r,o,0.33766970003489405,False,True,2,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_33,stimulus2AFC2_2IFC_2020_Mar_23_1712_34,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,17,0,17,0,5,-1,c,o,r,0.18481180001981556,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_35,stimulus2AFC2_2IFC_2020_Mar_23_1712_36,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,18,0,18,0,5,-1,c,o,r,0.2676536999642849,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_37,stimulus2AFC2_2IFC_2020_Mar_23_1712_38,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,19,0,19,0,5,-1,c,o,r,0.3365328999934718,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_39,stimulus2AFC2_2IFC_2020_Mar_23_1712_40,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,20,0,20,0,5,-1,c,o,r,0.21807899995474145,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_41,stimulus2AFC2_2IFC_2020_Mar_23_1712_42,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,21,0,21,0,5,-1,c,o,r,0.3351849999744445,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_43,stimulus2AFC2_2IFC_2020_Mar_23_1712_44,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,22,0,22,0,5,-1,c,o,r,0.20046670001465827,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_45,stimulus2AFC2_2IFC_2020_Mar_23_1712_46,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,23,0,23,0,5,-1,c,o,r,0.3546493999892846,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_47,stimulus2AFC2_2IFC_2020_Mar_23_1712_48,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,24,0,24,0,5,-1,w,r,o,0.35123239998938516,False,True,2,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_49,stimulus2AFC2_2IFC_2020_Mar_23_1712_50,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,25,0,25,0,5,-1,c,o,r,0.4014642999973148,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_51,stimulus2AFC2_2IFC_2020_Mar_23_1712_52,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,26,0,26,0,5,-1,c,o,r,0.385731200047303,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_53,stimulus2AFC2_2IFC_2020_Mar_23_1712_54,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,27,0,27,0,5,-1,c,o,r,0.28369349997956306,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_55,stimulus2AFC2_2IFC_2020_Mar_23_1712_56,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,28,0,28,0,5,-1,c,o,r,0.21797290001995862,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_57,stimulus2AFC2_2IFC_2020_Mar_23_1712_58,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,29,0,29,0,5,-1,w,r,o,0.28591390000656247,True,False,1,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_59,stimulus2AFC2_2IFC_2020_Mar_23_1712_60,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,30,0,30,0,5,-1,c,o,r,0.26718919997802004,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_61,stimulus2AFC2_2IFC_2020_Mar_23_1712_62,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,31,0,31,0,5,-1,c,o,r,0.4189011999987997,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_63,stimulus2AFC2_2IFC_2020_Mar_23_1712_64,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,32,0,32,0,5,-1,c,o,r,0.20090090000303462,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_65,stimulus2AFC2_2IFC_2020_Mar_23_1712_66,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,33,0,33,0,5,-1,c,o,r,0.41906520002521574,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_67,stimulus2AFC2_2IFC_2020_Mar_23_1712_68,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,34,0,34,0,5,-1,w,r,o,0.3343893999699503,False,True,2,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_69,stimulus2AFC2_2IFC_2020_Mar_23_1712_70,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,35,0,35,0,5,-1,c,o,r,0.23396650003269315,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_71,stimulus2AFC2_2IFC_2020_Mar_23_1712_72,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,36,0,36,0,5,-1,c,o,r,0.35075089999008924,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_73,stimulus2AFC2_2IFC_2020_Mar_23_1712_74,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,37,0,37,0,5,-1,c,o,r,0.4338430999778211,False,True,2,2,stimulus2AFC2_2IFC_2020_Mar_23_1712_75,stimulus2AFC2_2IFC_2020_Mar_23_1712_76,False,1,2AFC2,2020_Mar_23_1712,2IFC,
2IFC,38,0,38,0,5,-1,c,o,r,0.3513710999977775,True,False,1,1,stimulus2AFC2_2IFC_2020_Mar_23_1712_77,stimulus2AFC2_2IFC_2020_Mar_23_1712_78,False,1,2AFC2,2020_Mar_23_1712,2IFC,
