Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,first_answer,second_answer,stimulus_pos,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
2IFCnew,0,0,0,0,-1,3,null,4,-1,Correct Rejection,0,0,0.416645499994047,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_1,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_2,False,1,2AFCnew,2020_Mar_24_1702,2IFCnew,
2IFCnew,1,0,1,0,-1,4,null,4,-1,Miss,0,1,0.6004553000093438,True,False,2,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_3,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_4,False,1,2AFCnew,2020_Mar_24_1702,2IFCnew,
2IFCnew,2,0,2,0,-1,4,null,4,-1,Miss,0,1,0.5353386999922805,True,False,2,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_5,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_6,False,1,2AFCnew,2020_Mar_24_1702,2IFCnew,
2IFCnew,3,0,3,0,-1,2,null,4,-1,False Alarm,1,0,0.41671959997620434,False,True,1,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_7,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_8,False,1,2AFCnew,2020_Mar_24_1702,2IFCnew,
2IFCnew,4,0,4,0,-1,0,null,4,-1,No Answer,2,2,-1,False,True,0,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_9,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_10,False,1,2AFCnew,2020_Mar_24_1702,2IFCnew,
2IFCnew,5,0,5,0,-1,3,null,4,-1,Correct Rejection,0,0,0.48438290000194684,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_11,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_12,False,1,2AFCnew,2020_Mar_24_1702,2IFCnew,
2IFCnew,6,0,6,0,-1,1,null,4,-1,Hit,1,1,0.5034063999773934,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_13,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_14,False,1,2AFCnew,2020_Mar_24_1702,2IFCnew,
2IFCnew,7,0,7,0,-1,4,null,4,-1,Miss,0,1,0.5345979999983683,True,False,2,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_15,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_16,False,1,2AFCnew,2020_Mar_24_1702,2IFCnew,
2IFCnew,8,0,8,0,0.40096810000250116,6,No,4,-1,Miss,0,1,0.533458599995356,True,False,2,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_17,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_18,False,1,2AFCnew,2020_Mar_24_1702,2IFCnew,
2IFCnew,9,0,9,0,0.7511560000129975,2,Yes,4,-1,Correct Rejection,0,0,0.7359506000066176,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_19,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_20,False,1,2AFCnew,2020_Mar_24_1702,2IFCnew,
2IFCnew,10,0,10,0,0.5516493999748491,1,No,4,-1,Hit,1,1,0.7853454999858513,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_21,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_22,False,1,2AFCnew,2020_Mar_24_1702,2IFCnew,
2IFCnew,11,0,11,0,-1,3,No,4,-1,Correct Rejection,0,0,0.5005932999774814,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_23,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_24,False,1,2AFCnew,2020_Mar_24_1702,2IFCnew,
2IFCnew,12,0,12,0,-1,4,No,4,-1,Miss,0,1,0.6333941000048071,True,False,2,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_25,stimulus2AFCnew_2IFCnew_2020_Mar_24_1702_26,False,1,2AFCnew,2020_Mar_24_1702,2IFCnew,
