Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,first_answer,second_answer,stimulus_pos,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
2IFCnew,0,0,0,0,-1,3,null,4,-1,Correct Rejection,0.4684428999898955,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_2,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,1,0,1,0,0.1847379000391811,5,Yes,4,-1,False Alarm,0.3995955000864342,False,True,1,1,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_3,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_4,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,2,0,2,0,0.317169800051488,6,No,4,-1,Miss,0.42043790000025183,True,False,2,2,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_5,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_6,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,3,0,3,0,-1,3,null,4,-1,Correct Rejection,0.5007334999972954,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_7,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_8,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,4,0,4,0,0.2509167999960482,5,Yes,4,-1,False Alarm,0.8152948999777436,False,True,1,1,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_9,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_10,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,5,0,5,0,0.5176852999720722,6,No,4,-1,Miss,0.5008322999347001,True,False,2,2,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_11,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_12,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,6,0,6,0,-1,1,null,4,-1,Hit,0.6556942000752315,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_13,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_14,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,7,0,7,0,-1,1,null,4,-1,Hit,0.43316749995574355,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_15,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_16,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,8,0,8,0,-1,3,null,4,-1,Correct Rejection,0.5031735999509692,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_17,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_18,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,9,0,9,0,-1,3,null,4,-1,Correct Rejection,0.5007672999054193,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_19,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_20,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,10,0,10,0,-1,3,null,4,-1,Correct Rejection,0.5679959000553936,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_21,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_22,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,11,0,11,0,0.43528600002173334,5,Yes,4,-1,False Alarm,0.4008457000600174,False,True,1,1,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_23,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_24,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,12,0,12,0,-1,4,null,4,-1,Miss,0.4170012000249699,True,False,2,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_25,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_26,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,13,0,13,0,0.20088340004440397,5,Yes,4,-1,False Alarm,0.40148470003623515,False,True,1,1,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_27,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_28,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,14,0,14,0,0.30152949993498623,6,No,4,-1,Miss,0.5355974999256432,True,False,2,2,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_29,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_30,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,15,0,15,0,-1,1,null,4,-1,Hit,0.3843460000352934,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_31,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_32,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,16,0,16,0,-1,3,null,4,-1,Correct Rejection,0.4333246999885887,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_33,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_34,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,17,0,17,0,-1,3,null,4,-1,Correct Rejection,0.6506058999802917,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_35,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_36,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,18,0,18,0,-1,3,null,4,-1,Correct Rejection,0.601940399967134,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_37,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_38,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,19,0,19,0,-1,3,null,4,-1,Correct Rejection,0.4841707000741735,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_39,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_40,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,20,0,20,0,-1,2,null,4,-1,False Alarm,0.517018900020048,False,True,1,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_41,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_42,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,21,0,21,0,-1,3,null,4,-1,Correct Rejection,0.20046709990128875,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_43,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_44,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
2IFCnew,22,0,22,0,-1,1,null,4,-1,Hit,0.5013940999051556,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_45,stimulus2AFCnew_2IFCnew_2020_Mar_26_1838_46,False,2,2AFCnew,2020_Mar_26_1838,2IFCnew,
