Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
2IFC,0,0,0,0,11.0,-1,c,o,r,0.8528982999996515,False,True,stimulusMax2_2IFC_2020_Feb_17_1220_1,stimulusMax2_2IFC_2020_Feb_17_1220_2,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,1,0,1,0,11.0,-1,c,o,r,0.8341647999995985,True,False,stimulusMax2_2IFC_2020_Feb_17_1220_3,stimulusMax2_2IFC_2020_Feb_17_1220_4,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,2,0,2,0,11.0,-1,c,o,r,0.6508850000000166,False,True,stimulusMax2_2IFC_2020_Feb_17_1220_5,stimulusMax2_2IFC_2020_Feb_17_1220_6,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,3,0,3,0,11.0,-1,w,r,o,0.40125050000006013,False,True,stimulusMax2_2IFC_2020_Feb_17_1220_7,stimulusMax2_2IFC_2020_Feb_17_1220_8,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,4,0,4,0,11.0,-1,c,o,r,0.500039999999899,True,False,stimulusMax2_2IFC_2020_Feb_17_1220_9,stimulusMax2_2IFC_2020_Feb_17_1220_10,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,5,0,5,0,11.0,-1,c,o,r,0.4520494999997027,True,False,stimulusMax2_2IFC_2020_Feb_17_1220_11,stimulusMax2_2IFC_2020_Feb_17_1220_12,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,6,0,6,0,11.0,-1,c,o,r,0.5334483999995427,True,False,stimulusMax2_2IFC_2020_Feb_17_1220_13,stimulusMax2_2IFC_2020_Feb_17_1220_14,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,7,0,7,0,11.0,-1,c,o,r,0.6016964000000371,False,True,stimulusMax2_2IFC_2020_Feb_17_1220_15,stimulusMax2_2IFC_2020_Feb_17_1220_16,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,8,0,8,0,11.0,-1,c,o,r,0.5680711999993946,False,True,stimulusMax2_2IFC_2020_Feb_17_1220_17,stimulusMax2_2IFC_2020_Feb_17_1220_18,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,9,0,9,0,11.0,-1,c,o,r,0.5834587999997893,True,False,stimulusMax2_2IFC_2020_Feb_17_1220_19,stimulusMax2_2IFC_2020_Feb_17_1220_20,False,1,Max2,2020_Feb_17_1220,2IFC,
