Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,13.0,-1,Miss,0,1,0.3009238000086043,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_1,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,1,0,1,0,13.0,-1,Hit,1,1,0.3515121999953408,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_2,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,2,0,2,0,13.0,-1,Hit,1,1,0.31743439999991097,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_3,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,3,0,3,0,13.0,-1,Hit,1,1,0.31972299999324605,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_4,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,4,0,4,0,13.0,-1,Correct Rejection,0,0,0.4181903999997303,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_5,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,5,0,5,0,13.0,-1,Correct Rejection,0,0,0.3695424000034109,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_6,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,6,0,6,0,13.0,-1,Hit,1,1,0.41864009998971596,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_7,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,7,0,7,0,13.0,-1,Correct Rejection,0,0,0.3862123999861069,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_8,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,8,0,8,0,13.0,-1,Correct Rejection,0,0,0.351434700016398,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_9,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,9,0,9,0,13.0,-1,Correct Rejection,0,0,0.45074649999151006,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_10,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,10,0,10,0,13.0,-1,Hit,1,1,0.38488309999229386,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_11,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,11,0,11,0,13.0,-1,Hit,1,1,0.3339766999997664,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_12,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,12,0,12,0,13.0,-1,Miss,0,1,0.351748699991731,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_13,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,13,0,13,0,13.0,-1,Correct Rejection,0,0,0.45115640002768487,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_14,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,14,0,14,0,13.0,-1,Correct Rejection,0,0,0.4187149000063073,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_15,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,15,0,15,0,13.0,-1,Correct Rejection,0,0,0.36884330000611953,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_16,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,16,0,16,0,13.0,-1,Correct Rejection,0,0,0.43699640000704676,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_17,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,17,0,17,0,13.0,-1,Hit,1,1,0.3501884000143036,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_18,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,18,0,18,0,13.0,-1,Correct Rejection,0,0,0.4849398000224028,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_19,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
Yes-No Task,19,0,19,0,13.0,-1,Correct Rejection,0,0,0.3834641000139527,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1241_20,-1,False,3,MaxA,2020_Feb_07_1241,Yes-No Task,
