Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,9.0,-1,Correct Rejection,0.300720100000035,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_1,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,1,0,1,0,9.0,-1,Hit,0.21690919999673497,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_2,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,2,0,2,0,9.0,-1,Correct Rejection,0.2670661000011023,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_3,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,3,0,3,0,9.0,-1,Hit,0.33385570000245934,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_4,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,4,0,4,0,9.0,-1,False Alarm,0.3006716999952914,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_5,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,5,0,5,0,9.0,-1,Correct Rejection,0.26666819999809377,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_6,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,6,0,6,0,9.0,-1,Correct Rejection,0.2169544999997015,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_7,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,7,0,7,0,9.0,-1,Correct Rejection,0.40033280000352534,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_8,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,8,0,8,0,9.0,-1,Correct Rejection,0.30035599999973783,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_9,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,9,0,9,0,9.0,-1,Miss,0.2501754999975674,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_10,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,10,0,10,0,9.0,-1,Correct Rejection,0.46708229999785544,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_11,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,11,0,11,0,9.0,-1,Miss,0.3172219000043697,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_12,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,12,0,12,0,9.0,-1,Hit,0.48426679999829503,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_13,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,13,0,13,0,9.0,-1,Hit,0.3675762999992003,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_14,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,14,0,14,0,9.0,-1,Hit,0.28383970000140835,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_15,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,15,0,15,0,9.0,-1,Hit,0.317345600000408,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_16,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,16,0,16,0,9.0,-1,Correct Rejection,0.467829500004882,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_17,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
