Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,6.0,-1,Correct Rejection,0,0,0.4023079999997208,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_1,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
Yes-No Task,1,0,1,0,6.0,-1,False Alarm,1,0,0.48539549999986775,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_2,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
Yes-No Task,2,0,2,0,6.0,-1,Correct Rejection,0,0,0.6685048999997889,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_3,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
Yes-No Task,3,0,3,0,6.0,-1,Hit,1,1,0.5182199999999284,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_4,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
Yes-No Task,4,0,4,0,6.0,-1,False Alarm,1,0,0.5345291000003272,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_5,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
Yes-No Task,5,0,5,0,6.0,-1,Hit,1,1,0.4532822999999553,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_6,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
Yes-No Task,6,0,6,0,6.0,-1,Hit,1,1,0.5366469000000507,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_7,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
Yes-No Task,7,0,7,0,6.0,-1,Correct Rejection,0,0,0.4688666000001831,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_8,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
Yes-No Task,8,0,8,0,6.0,-1,Correct Rejection,0,0,0.8492116999996142,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_9,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
Yes-No Task,9,0,9,0,6.0,-1,False Alarm,1,0,0.6507104000002073,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_10,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
Yes-No Task,10,0,10,0,6.0,-1,No Answer,2,2,-1,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_11,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
Yes-No Task,11,0,11,0,6.0,-1,Hit,1,1,0.5010354000005464,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_12,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
Yes-No Task,12,0,12,0,6.0,-1,False Alarm,1,0,0.4381401000000551,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_13,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
Yes-No Task,13,0,13,0,6.0,-1,Correct Rejection,0,0,0.5013006000008318,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1142_14,-1,False,7,MaxB,2020_Feb_17_1142,Yes-No Task,
