Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,12.0,-1,Correct Rejection,0,0,0.4840377000218723,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_1,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,1,0,1,0,12.0,-1,Miss,0,1,0.4338221999933012,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_2,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,2,0,2,0,12.0,-1,Hit,1,1,0.3833738999965135,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_3,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,3,0,3,0,12.0,-1,Hit,1,1,0.3850990999781061,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_4,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,4,0,4,0,12.0,-1,Correct Rejection,0,0,0.38480929998331703,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_5,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,5,0,5,0,12.0,-1,Correct Rejection,0,0,0.35158049999154173,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_6,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,6,0,6,0,12.0,-1,Correct Rejection,0,0,0.36804460000712425,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_7,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,7,0,7,0,12.0,-1,Correct Rejection,0,0,0.3350860000064131,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_8,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,8,0,8,0,12.0,-1,Hit,1,1,0.3506876000028569,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_9,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,9,0,9,0,12.0,-1,Hit,1,1,0.35010819998569787,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_10,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,10,0,10,0,12.0,-1,Correct Rejection,0,0,0.31782249998650514,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_11,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
