Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,11.0,-1,No Answer,0,0,-1,True,-1,stimulus_yesNoTEST_Yes-No Task_2020_Mar_30_1518_1,-1,False,,yesNoTEST,2020_Mar_30_1518,Yes-No Task,
Yes-No Task,1,0,1,0,11.0,-1,No Answer,0,0,-1,False,-1,stimulus_yesNoTEST_Yes-No Task_2020_Mar_30_1518_2,-1,False,,yesNoTEST,2020_Mar_30_1518,Yes-No Task,
Yes-No Task,2,0,2,0,11.0,-1,Correct Rejection,2,2,0.13390540005639195,False,-1,stimulus_yesNoTEST_Yes-No Task_2020_Mar_30_1518_3,-1,False,,yesNoTEST,2020_Mar_30_1518,Yes-No Task,
Yes-No Task,3,0,3,0,11.0,-1,Miss,2,1,0.21880400006193668,True,-1,stimulus_yesNoTEST_Yes-No Task_2020_Mar_30_1518_4,-1,False,,yesNoTEST,2020_Mar_30_1518,Yes-No Task,
Yes-No Task,4,0,4,0,11.0,-1,Hit,1,1,0.16674629994668067,True,-1,stimulus_yesNoTEST_Yes-No Task_2020_Mar_30_1518_5,-1,False,,yesNoTEST,2020_Mar_30_1518,Yes-No Task,
Yes-No Task,5,0,5,0,11.0,-1,False Alarm,1,2,0.16840780002530664,False,-1,stimulus_yesNoTEST_Yes-No Task_2020_Mar_30_1518_6,-1,False,,yesNoTEST,2020_Mar_30_1518,Yes-No Task,
Yes-No Task,6,0,6,0,11.0,-1,No Answer,0,0,-1,True,-1,stimulus_yesNoTEST_Yes-No Task_2020_Mar_30_1518_7,-1,False,,yesNoTEST,2020_Mar_30_1518,Yes-No Task,
Yes-No Task,7,0,7,0,11.0,-1,No Answer,0,0,-1,True,-1,stimulus_yesNoTEST_Yes-No Task_2020_Mar_30_1518_8,-1,False,,yesNoTEST,2020_Mar_30_1518,Yes-No Task,
Yes-No Task,8,0,8,0,11.0,-1,Miss,2,1,0.23405639990232885,True,-1,stimulus_yesNoTEST_Yes-No Task_2020_Mar_30_1518_9,-1,False,,yesNoTEST,2020_Mar_30_1518,Yes-No Task,
Yes-No Task,9,0,9,0,11.0,-1,Correct Rejection,2,2,0.16712889994960278,False,-1,stimulus_yesNoTEST_Yes-No Task_2020_Mar_30_1518_10,-1,False,,yesNoTEST,2020_Mar_30_1518,Yes-No Task,
